"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"89"	"eubm"	"age"	39	"dot_aosq2"	0.64	"learned weight (opt)"
"90"	"eubm"	"age"	40	"dot_aosq2"	0.62	"learned weight (opt)"
"91"	"eubm"	"age"	41	"dot_aosq2"	0.53	"learned weight (opt)"
"92"	"eubm"	"age"	42	"dot_aosq2"	0.71	"learned weight (opt)"
"93"	"eubm"	"age"	43	"dot_aosq2"	0.6	"learned weight (opt)"
"94"	"eubm"	"age"	44	"dot_aosq2"	0.69	"learned weight (opt)"
"95"	"eubm"	"age"	45	"dot_aosq2"	0.59	"learned weight (opt)"
"96"	"eubm"	"age"	46	"dot_aosq2"	0.61	"learned weight (opt)"
"97"	"eubm"	"age"	47	"dot_aosq2"	0.59	"learned weight (opt)"
"98"	"eubm"	"age"	48	"dot_aosq2"	0.64	"learned weight (opt)"
"99"	"eubm"	"age"	49	"dot_aosq2"	0.67	"learned weight (opt)"
"100"	"eubm"	"age"	50	"dot_aosq2"	0.64	"learned weight (opt)"
"101"	"eubm"	"age"	1	"dot_svdsq2"	0.66	"learned weight (svd)"
"102"	"eubm"	"age"	2	"dot_svdsq2"	0.49	"learned weight (svd)"
"103"	"eubm"	"age"	3	"dot_svdsq2"	0.62	"learned weight (svd)"
"104"	"eubm"	"age"	4	"dot_svdsq2"	0.62	"learned weight (svd)"
"105"	"eubm"	"age"	5	"dot_svdsq2"	0.62	"learned weight (svd)"
"106"	"eubm"	"age"	6	"dot_svdsq2"	0.68	"learned weight (svd)"
"107"	"eubm"	"age"	7	"dot_svdsq2"	0.59	"learned weight (svd)"
"108"	"eubm"	"age"	8	"dot_svdsq2"	0.62	"learned weight (svd)"
"109"	"eubm"	"age"	9	"dot_svdsq2"	0.62	"learned weight (svd)"
"110"	"eubm"	"age"	10	"dot_svdsq2"	0.68	"learned weight (svd)"
"111"	"eubm"	"age"	11	"dot_svdsq2"	0.61	"learned weight (svd)"
"112"	"eubm"	"age"	12	"dot_svdsq2"	0.61	"learned weight (svd)"
"113"	"eubm"	"age"	13	"dot_svdsq2"	0.64	"learned weight (svd)"
"114"	"eubm"	"age"	14	"dot_svdsq2"	0.69	"learned weight (svd)"
"115"	"eubm"	"age"	15	"dot_svdsq2"	0.65	"learned weight (svd)"
